Scheme Code,Scheme Name,Start Date,Last Date,ret_0.5Y,ret_1Y,ret_2Y,ret_3Y,ret_5Y,vol_0.5Y,vol_1Y,vol_2Y,vol_3Y,vol_5Y,semidev_0.5Y,semidev_1Y,semidev_2Y,semidev_3Y,semidev_5Y,Sharpe_0.5Y,Sharpe_1Y,Sharpe_2Y,Sharpe_3Y,Sharpe_5Y,Sortino_0.5Y,Sortino_1Y,Sortino_2Y,Sortino_3Y,Sortino_5Y,95pct1dVaR,95pct1mVaR,95pct1dESF,95pct1mESF,max_drawdown,aum,sharpe_hist1Y_1Y,sharpe_hist1Y_2Y,sharpe_hist1Y_3Y,sharpe_hist1Y_5Y,Scheme Cat1,Scheme Cat2,Scheme Code Direct,Scheme Code Reg,Master Scheme Name Reg,Master Scheme Name Direct,TER scheme name,Direct TER,Regular TER,type
119711,SBI MAGNUM GLOBAL FUND - DIRECT PLAN -GROWTH,1/2/2013,9/30/2024,23.56996967,14.47220249,15.83179082,10.33179572,15.79451527,10.02741654,9.486014004,8.581235218,11.29425792,13.42877407,7.507591778,7.07767612,6.337976019,8.320574125,10.23449541,2.051372813,1.209380725,1.495331441,0.64916135,0.952768674,2.739889206,1.620899614,2.024588099,0.881164642,1.250136401,1.148340674,4.156147236,1.688029151,6.696764086,18.79480456,74447.27,1.888463438,0.440420367,1.469308744,0.912232912,Equity,ELSS,119711,103034,SBI MAGNUM GLOBAL FUND - REGULAR PLAN -GROWTH,SBI MAGNUM GLOBAL FUND - DIRECT PLAN -GROWTH,SBI MAGNUM GLOBAL FUND,1.18,1.87,Direct
120490,JM Large Cap Fund (Direct) - Growth Option,1/2/2013,9/30/2024,29.10541016,38.08671892,27.68101076,17.31832355,19.12060755,18.24050556,16.12957925,13.17015955,14.74322824,13.79880316,14.8158386,12.83641547,10.24164434,11.28851905,10.55617728,1.431177994,2.175302801,1.874010004,0.971179671,1.168261288,1.761993422,2.733373581,2.40986798,1.268396987,1.527125504,1.280090816,4.226341562,2.104860854,6.308686808,17.81085393,2907.16,1.463751126,0.257495732,1.01777041,0.804325585,Equity,Large & Mid Cap Fund,120490,100219,JM Large Cap Fund (Regular) - Growth Option,JM Large Cap Fund (Direct) - Growth Option,JM Large Cap Fund,1.01,2.41,Direct
119646,Aditya Birla Sun Life MNC Fund - Growth - Direct Plan,1/2/2013,9/30/2024,43.73535225,32.47000924,22.28170498,13.08431361,12.88656033,11.89409797,11.16324062,9.606861401,11.31636999,14.33308902,9.078404969,8.633233013,7.256907826,8.601825037,11.22196199,3.424837457,2.639915257,2.007076419,0.891126184,0.689771781,4.48706049,3.413554249,2.657013902,1.172345818,0.881001053,1.1968662,4.397211776,1.836350004,6.178341065,15.90836635,57127.49,1.149381499,0.024124758,0.780295543,0.459906749,Equity,ELSS,119646,100064,Aditya Birla Sun Life MNC Fund - Growth - Regular Plan,Aditya Birla Sun Life MNC Fund - Growth - Direct Plan,Aditya Birla Sun Life MNC Fund,1.29,1.98,Direct
120587,ICICI Prudential FMCG Fund - Direct Plan -  Growth,1/2/2013,9/30/2024,41.55577851,22.31352315,20.0126912,16.27183197,15.81078994,12.30310774,11.10402444,9.986529669,11.15620996,14.57327544,7.402705815,7.346773783,6.736441242,7.899080681,10.88623728,3.13382434,1.739326427,1.703563877,1.189636267,0.879060442,5.208335908,2.628844132,2.525471624,1.680174252,1.176787683,1.077807082,3.385810357,1.715226126,4.912622224,11.53607552,60278.92,1.679532219,0.915243788,1.670751862,0.7931393,Equity,ELSS,120587,100352,ICICI Prudential FMCG Fund - Growth,ICICI Prudential FMCG Fund - Direct Plan -  Growth,ICICI Prudential FMCG Fund,1.29,2.16,Direct
120682,UTI - MNC Fund - Growth Option - Direct,1/2/2013,9/30/2024,39.11673872,32.65028821,22.65607136,14.41845394,15.6520429,11.20351067,10.62367779,9.305701279,11.70547327,14.57591941,8.153202646,8.018360358,6.909345721,8.823848374,11.29700993,3.223698338,2.790962678,2.112261158,0.975479904,0.868009938,4.429760952,3.697799411,2.844852777,1.294044668,1.11994616,1.280662263,3.874003553,1.886057893,5.853326625,16.08857131,29800.78,1.205893041,0.175024188,1.083962812,0.562413619,Equity,ELSS,120682,100740,UTI - MNC Fund - Regular Plan - Growth Option,UTI - MNC Fund - Growth Option - Direct,UTI - MNC Fund,1.19,2,Direct
119727,SBI FOCUSED EQUITY FUND - DIRECT PLAN -GROWTH,1/2/2013,9/30/2024,30.23334556,27.92361175,21.35021113,11.7638842,17.50167839,12.30503064,10.93735021,9.567373632,11.681497,15.08670455,9.583423928,8.339258249,7.169542291,8.75904963,11.8234752,2.213187952,2.278761425,1.917998799,0.750236395,0.961222402,2.841713542,2.988708468,2.559467591,1.000551952,1.226515737,1.224700396,4.523462102,1.905782745,7.016671208,22.45974606,776102.13,1.566564588,0.08643869,1.437836597,0.845926623,Equity,Sectoral/ Thematic,119727,102756,SBI FOCUSED EQUITY FUND - REGULAR PLAN -GROWTH,SBI FOCUSED EQUITY FUND - DIRECT PLAN -GROWTH,SBI FOCUSED EQUITY FUND,0.73,1.57,Direct
125497,SBI Small Cap Fund - Direct Plan - Growth,11/18/2013,9/30/2024,39.45738809,35.67642612,25.73679599,20.31707511,25.91997825,13.79133965,13.15145822,11.18870669,12.94688927,15.25553499,10.75484891,10.41524104,8.747111806,10.1580955,12.17467402,2.643498675,2.4846238,2.032120121,1.33754717,1.502404096,3.389855905,3.137366287,2.599348961,1.704756085,1.88259482,1.3494655,4.019812839,2.168244481,6.041166407,15.32878274,965457.32,1.609167146,0.803671835,1.975128265,1.222633516,Equity,Dividend Yield Fund,125497,125494,SBI Small Cap Fund - Regular Plan - Growth,SBI Small Cap Fund - Direct Plan - Growth,SBI SMALL CAP FUND,0.63,1.56,Direct
119172,Tata Ethical Fund -Direct Plan- Growth Option,1/2/2013,9/30/2024,36.79949302,32.64765549,23.42903263,15.16704854,20.51240971,12.33735577,11.90549104,10.55830037,12.9010042,15.41317099,9.277750915,8.963000193,7.933311579,9.820947638,11.85302003,2.739605929,2.49025054,1.934878902,0.943108642,1.136197718,3.643069677,3.307782533,2.575095208,1.238887426,1.477463943,1.344302052,3.99198169,2.032036896,6.203274871,18.74743955,73409.85,1.217909097,0.247109914,1.314843836,0.887539232,Equity,ELSS,119172,100415,Tata Ethical Fund-Regular Plan - Growth Option,Tata Ethical Fund -Direct Plan- Growth Option,Tata Ethical Fund,0.68,1.91,Direct
118876,Taurus Ethical Fund - Direct Plan - Growth,1/2/2013,9/30/2024,34.56664132,37.60539899,26.06266902,16.26483579,20.57737457,13.29304594,12.95711102,11.72375233,13.74205768,15.51380084,10.0168059,9.884739203,8.786763836,10.49536466,12.09855813,2.374673304,2.670765029,1.967174704,0.965272894,1.133015355,3.151367974,3.500891453,2.624705688,1.263875646,1.452848709,1.453933208,4.785070928,2.125495574,6.643084009,18.35897436,6648.9,1.080326918,0.170746911,1.057783518,0.769341852,Equity,ELSS,118876,111787,Taurus Ethical Fund - Regular Plan - Growth,Taurus Ethical Fund - Direct Plan - Growth,Taurus Ethical Fund,1.28,2.45,Direct
118527,Templeton India Equity Income Fund - Direct - Growth,1/1/2013,9/30/2024,34.73392692,43.46493488,31.26074939,20.82344812,24.49453025,17.00197758,15.52210312,12.38613982,13.00372126,15.60712876,13.89907669,12.34168873,9.564979436,9.897876316,12.26591725,1.866484459,2.606923467,2.281643015,1.370642123,1.37722515,2.283167985,3.27871945,2.954606393,1.800734577,1.752378548,1.304323435,3.142864434,2.051634699,4.306346482,10.44419868,16892.69,1.973480565,0.56041413,1.839179403,1.007123234,Equity,Value Fund,118527,103678,Templeton India Equity Income Fund-Growth Plan,Templeton India Equity Income Fund - Direct - Growth,Templeton India Equity Income Fund,1.22,2.06,Direct
